Team,AvgAge,Wins
Arizona Diamondbacks,28.5,89
Atlanta Braves,29.3,89
Baltimore Orioles,26.9,91
Boston Red Sox,27.3,81
Chicago Cubs,27.8,83
Chicago White Sox,27.8,41
Cincinnati Reds,27.1,77
Cleveland Guardians,26.1,92
Colorado Rockies,27.9,61
Detroit Tigers,26.7,86
Houston Astros,28.8,88
Kansas City Royals,28,86
Los Angeles Angels,27.3,63
Los Angeles Dodgers,30.3,98
Miami Marlins,27.2,62
Milwaukee Brewers,26.4,93
Minnesota Twins,28.7,82
New York Mets,30,89
New York Yankees,28,94
Oakland Athletics,26.5,69
Philadelphia Phillies,29.1,95
Pittsburgh Pirates,28.5,76
San Diego Padres,29,93
San Francisco Giants,28.6,80
Seattle Mariners,28.9,85
St. Louis Cardinals,27.6,83
Tampa Bay Rays,27.2,80
Texas Rangers,28.1,78
Toronto Blue Jays,28.1,74
Washington Nationals,26.3,71
