market.share,price,discount,promotion,rating
3.15,2.198,1,1,498
2.52,2.186,0,0,510
2.64,2.293,1,1,422
2.55,2.42,0,1,858
2.69,2.179,1,0,566
2.38,2.207,0,0,536
3.02,2.127,1,1,585
2.52,2.206,1,0,310
2.45,2.305,0,0,211
2.42,2.26,0,1,504
3.16,2.205,1,1,234
2.6,2.34,0,0,347
2.98,2.171,1,0,430
2.5,2.201,0,1,518
2.45,2.248,0,0,465
4.36,2.74,0,1,900
3.06,2.184,1,1,684
2.34,2.373,0,0,152
2.88,2.157,1,1,453
2.94,2.129,1,1,485
2.72,2.557,1,0,78
2.27,2.587,0,1,72
2.33,2.255,0,0,391
2.64,2.124,1,0,322
2.21,3.99,1,1,652
2.76,2.683,1,1,317
3.05,2.336,1,1,252
2.48,2.266,0,1,446
2.23,2.443,0,0,521
2.65,2.478,1,1,435
2.56,2.394,1,0,402
2.66,2.414,1,1,468
2.99,2.233,1,0,262
2.3,2.302,0,1,182
2.88,2.421,1,1,145
2.8,2.518,1,0,270
2.48,2.497,0,1,322
2.85,2.781,1,1,317
